Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Browse/jpetstore/actions/Catalog.action-1,1500,505,415,972,1084,1282,96,2025,0.000%,601.20240,2522.82,276.53
Browse/jpetstore/actions/Catalog.action-2,1500,526,520,1010,1107,1167,48,1203,0.000%,454.68324,2041.32,222.99
Browse/jpetstore/actions/Catalog.action-3,1500,450,423,750,1048,1178,52,1392,0.000%,444.83986,1806.86,215.38
TOTAL,4500,494,454,958,1096,1190,48,2025,0.000%,1276.23369,5423.00,610.28
